Company,Job,Listing Date,Location,Work Type,Teaser job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
Unitama Sari Mas,Territory Sales Supervisor (Area : Pinrang),19 hari yang lalu,"Pinrang, Sulawesi Selatan",Full time,Memiliki pengalaman sbg sales supervisor/coordinator di area Pinrang dan berpengalaman memegang product consumer good,81317571,Penjualan,Manajemen,https://id.jobstreet.com/id/job/81317571,15,0
Astra Insurance,Account Officer (Sales Officer) - R.O. Parepare,24 hari yang lalu,"Pare-Pare, Sulawesi Selatan",Full time,"Posisi ini bertanggung jawab untuk menjaga hubungan baik dengan dealer otomotif rekanan & pelanggan, serta mencapai target yang telah ditetapkan...",81222191,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81222191,15,0
,SALESMAN,16 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Kami membuka lowongan untuk posisi Salesman,81415675,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81415675,15,0
Imin Technology Indonesia,Sales Executive,12 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Sales Representative, Medan North Sumatra",81501567,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81501567,15,0
ORIX,Management Development Program (MDP) Eksternal Makassar,18 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Kualifikasi: Usia maksimal 25 tahun Pendidikan S1 dari segala jurusan, diutamakan lulusan dari Perguruan Tinggi ternama dengan IPK minimal 3,00...",81357434,Penjualan,Pengembangan Bisnis Baru,https://id.jobstreet.com/id/job/81357434,15,0
,SALES MARKETING,24 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Yang harus kamu lakukan adalah berkunjung ke customer dan menawarkan produk,81215465,Penjualan,Pengembangan Bisnis Baru,https://id.jobstreet.com/id/job/81215465,15,0
IDP Consulting Indonesia,Education Counsellor (UK) - Makassar,12 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Counselling students on United Kingdom studies, providing admission information, and assisting student with visa application.",81504868,Pendidikan & Pelatihan,Bimbingan Siswa,https://id.jobstreet.com/id/job/81504868,14,0
Kenari Djaja Prima,Sales Specialist,11 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Posisi sales dengan fokus bidang materials building, berorientase pada target, melaukan visit project, disupport claim & insentif yang bersaing",81532931,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81532931,15,0
Amartha Mikro Fintek,Team Leader Wajo,30+ hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Kami mencari Business Manager (Team Leader) yang berpengalaman untuk memimpin dan mengawasi pekerjaan karyawan di perusahaan kami. Tugas utama adal...,78905613,Penjualan,Koordinator Penjualan,https://id.jobstreet.com/id/job/78905613,15,0
Monier,Sales Engineer (Code: SE) – Sulawesi,25 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Grow your career as a Sales Engineer in Sulawesi.,81191906,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81191906,15,0
Indodana,Sales Promoter Team Leader - Makassar,29 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,-,81107070,Penjualan,Koordinator Penjualan,https://id.jobstreet.com/id/job/81107070,15,0
,Supervisor – Scrap Sales,10 hari yang lalu,"Lamasi, Sulawesi Selatan",Full time,"Reporting to the Manager – Supply & Contract, the Supervisor - Scrap Sales will be responsible for overseeing the management and sales of the compa...",81568935,"Pertambangan, Sumber Daya Alam & Energi",Pertambangan – Operasional,https://id.jobstreet.com/id/job/81568935,18,0
Peluang Kerjaku,Sales Funding Perbankan,9 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,- Memasarkan product funding perbankan - Memiliki database funding min. 150juta/nasabah - Siap bekerja secara target - Memiliki BI Checking bersih ...,81626916,Perbankan & Layanan Finansial,Perbankan – Ritel/Cabang,https://id.jobstreet.com/id/job/81626916,16,0
,Desk Collection,23 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Melakukan Penagihan Kepada Nasabah yang telah jatuh tempo by Call sesuai SOP PT.Colmitra Persada Indonesia. - Menginformasikan pembayaran yang tela...,81281153,Perbankan & Layanan Finansial,Kredit,https://id.jobstreet.com/id/job/81281153,16,0
Ruangguru,Branch Manager - Bulukumba (Sulawesi),19 hari yang lalu,"Bulukumba, Sulawesi Selatan",Kontrak,"Direct all sales and marketing initiatives in branch
Assess local market condition, identify current and prospective sales opportunities
Assess the...",81339992,Penjualan,Manajemen,https://id.jobstreet.com/id/job/81339992,15,0
